Title,Category Id,Parent Id
Appliances,798,791
Flooring,799,791
Heating & Cooling,800,791
Lawn & Garden,801,791
General,4024,791
Household,802,853
Bedroom,803,802
Bathroom,804,802
Kitchen,805,802
Home Office,806,802
Cleaning,807,802
Living Room,808,802
Storage,809,802
Blankets,810,802
Curtains,811,802
Rugs,812,802
Outdoor,813,802
General,4025,802
Office,814,853
Shipping,815,814
Paper Supplies,816,814
Toner,817,814
Furniture,818,814
School Supplies,819,814
General,4026,814
Pets,820,853
Publications,823,853
Books,821,823
Magazines,822,823
General,4027,823
Shoes,824,853
Baseball,825,824
Basketball,826,824
Soccer,827,824
Football,828,824
Hockey,829,824
Tennis,830,824
Skiing,831,824
Snowboarding,832,824
Running,833,824
Cycling,834,824
Casual,835,824
Dress,836,824
Sandals,837,824
Slippers,838,824
Boots,839,824
General,4028,824
Sports,840,853
Baseball,841,840
Basketball,842,840
Soccer,843,840
Football,844,840
Hockey,845,840
Tennis,846,840
Skiing,847,840
Snowboarding,848,840
Running,849,840
Cycling,850,840
Fishing,851,840
Shooting Sports,852,840
General,4029,840
Crafts,1062,853
Gifts,1064,853
Prints and Stationary,1065,853
bleacherreport.com,2018,853
amazon.com,3000,853
dx.com,3001,853
ebay.com,3002,853
Clothes,500073,3002
Sport,500074,3002
Shoes,500075,3002
Gifts,500076,3002
Electronics,500077,3002
General,500211,3002
fyeomans.com,3003,853
fyeomans,500058,3003
Innovation,500059,3003
Thoughts,500060,3003
Technology,500061,3003
General,500062,3003
iherb.com,3004,853
finishline.com,3005,853
shoes.com,3007,853
bhphotovideo.com,3500,853
General,4030,853
cat001,4075,4030
walmart.com,4076,4030
costo.com,4077,4030
qvc.com,4078,4030
traceme.co.nz,4079,4030
marksandspencer.com,4080,4030
sierratradingpost.com,4081,4030
llbean.com,4082,4030
fingerhut.com,4083,4030
tractorsupply.com,4084,4030
cat011,4088,4030
cat012,4089,4030
gap.com,500063,4030
groupon.com,500064,4030
homedepot.com,500065,4030
ikea.com,500066,4030
lowes.com,500067,4030
macys.com,500068,4030
newegg.com,500069,4030
netflix.com,500070,4030
nike.com,500071,4030
sears.com,500072,4030
staples.com,500210,4030
ALL,600008,4030
Events,600009,853
Weddings,600010,600009
Holidays,600011,600009
Business,882,1072
Education,854,882
Electronics,856,882
Computers,855,856
General,4032,856
Entertainmnet,857,882
Financial,861,882
Banks,858,861
Insurance,859,861
Investing,860,861
General,4033,861
Accounting,600013,861
Food,864,882
Grocery,862,864
Restaurant,863,864
General,4034,864
Health,868,882
Hospital,865,868
Personal Health,866,868
Pharmaceutical,867,868
General,4035,868
Home,871,882
Home Improvement,869,871
Home Products,870,871
General,4036,871
Legal ,872,882
Personal Care,875,882
Beauty,873,875
Service,874,875
General,4037,875
Real Estate,876,882
Retail,877,882
Supplies,878,882
Support,879,882
Travel,880,882
Wholesale,881,882
General,4038,882
Construction,600012,882
Defense,600014,882
TV Shows/Movies,892,1072
General,1067,892
General Reference,1059,1072
Encyclopedia,1060,1059
Dictionary,1061,1059
General,4064,1059
Wiki,4090,1059
Articles,4091,4090
Lists,4092,4090
Video Sharing,1063,1072
News And Information,893,1063
Celebrity,894,893
TV/Movies,895,893
Politics,896,893
Technology,897,893
fashion and beauty,898,893
General,4041,893
Action & Adventure,899,1063
Revenge,900,899
Crime,901,899
Military/War,902,899
Superhero,903,899
General,4042,899
Anime/Manga,904,1063
Cartoon,905,1063
Children & Family,906,1063
Parenting/Childcare,907,906
General,4043,906
Period,908,1063
Short Films,909,908
Gangster,910,908
Western,911,908
Cold War,912,908
World War I,913,908
World War II,914,908
Pirate,915,908
Civil War,916,908
Korean War,917,908
Sword and Sandal,918,908
General,4044,908
Classics,919,1063
Arts and Culture,920,1063
Latino,921,920
Indian,922,920
General,4045,920
Sitcom,923,1063
Comedies,924,1063
Satire,925,924
Standup,926,924
Skit,927,924
General,4046,924
Documentaries,928,1063
Nature/Wildlife,929,928
Dinosaur,930,928
Travel,931,928
History,932,928
Science,933,928
Biography,934,928
Music,935,928
General,4047,928
Dramas,936,1063
Teen,937,936
Korean Drama,938,936
General,4048,936
Foods,939,1063
Cooking,940,939
General,4049,939
Faith & Spirituality,941,1063
Reality,942,1063
Game Shows,943,942
TV Talk Show,944,942
General,4050,942
Foreign & Martial Arts,945,1063
Samurai,946,945
General,4051,945
Gay & Lesbian,947,1063
Horror,948,1063
Serial Killer,949,948
General,4052,948
Independent,950,1063
Gaming/Tech,951,1063
Musicals,952,1063
Holiday Favorites,953,1063
Music Videos,954,1063
Romance,955,1063
Sci-Fi & Fantacy,956,1063
Set in the Future,957,956
Dystopian,958,956
Vampire,959,956
Ghost,960,956
Zombie,961,956
Robot,962,956
Time Travel,963,956
Set In Space,964,956
General,4053,956
Sports,965,1063
Exercise/Fitness,966,965
General,4054,965
Thrillers/Mystery,967,1063
Psychological Thriller,968,967
Survival,969,967
Conspiracy,970,967
General,4055,967
Bleak,971,1063
Health,972,1063
Self-Help,973,972
General,4056,972
Good vs. Evil,974,1063
Film Noir,975,1063
Business,976,1063
Science,977,1063
Performing Arts,978,1063
Concert,979,978
Dance,980,978
General,4057,978
Crafts & Hobbies,981,1063
Extreme Sports,982,981
TV News Programming,983,981
General,4058,981
Lifestyle & How-to,984,1063
Autos & Vehicles,985,984
Music,986,984
Home/Garden,987,984
Programming & Math,988,984
Blogs,989,984
Hardware,990,984
General,4059,984
Entertainment,991,1063
General,4087,1063
All,1078,1072
Apps,500078,1072
Windows,500079,500078
Communication,500082,500079
Messaging,500106,500082
Phone,500107,500082
General,500108,500082
Education,500083,500079
Children,500109,500083
Language,500110,500083
Technology,500111,500083
General,500112,500083
Entertainment,500084,500079
Books,500113,500084
Comics,500114,500084
Games,500115,500084
Music,500116,500084
Podcasts,500117,500084
Video,500118,500084
General,500119,500084
Information,500085,500079
News,500120,500085
Reference Apps,500121,500085
Road ,500122,500085
Sports,500123,500085
Travel,500124,500085
Weather,500125,500085
General,500126,500085
Multimedia,500086,500079
Audio,500127,500086
Photography,500128,500086
Photography,500129,500086
Video,500130,500086
General,500131,500086
Social Space,500087,500079
General,500132,500087
Shopping,500088,500079
Discounts,500133,500088
General,500134,500088
Tools,500089,500079
Health,500135,500089
Maps,500136,500089
Personalization,500137,500089
Productivity,500138,500089
Productivity,500139,500089
Widgets,500140,500089
General,500141,500089
Android,500080,500078
Communication,500090,500080
Messaging,500142,500090
Phone,500143,500090
General,500144,500090
Education,500091,500080
Children,500145,500091
Language,500146,500091
Technology,500147,500091
General,500148,500091
Entertainment,500092,500080
Books,500149,500092
Comics,500150,500092
Games,500151,500092
Music,500152,500092
Podcasts,500153,500092
Video,500154,500092
General,500155,500092
Information,500093,500080
News,500156,500093
Reference Apps,500157,500093
Road ,500158,500093
Sports,500159,500093
Travel,500160,500093
Weather,500161,500093
General,500162,500093
Multimedia,500094,500080
Audio,500163,500094
Photography,500164,500094
Video,500165,500094
General,500166,500094
Socail Space,500095,500080
General,500167,500095
Shopping,500096,500080
Discounts,500168,500096
General,500169,500096
Tools,500097,500080
Health,500170,500097
Maps,500171,500097
Personalization,500172,500097
Productivity,500173,500097
Widgets,500174,500097
General,500175,500097
Apple,500081,500078
Communication,500098,500081
Messaging,500176,500098
Phone,500177,500098
General,500178,500098
Education,500099,500081
Children,500179,500099
Language,500180,500099
Technology,500181,500099
General,500182,500099
Entertainment,500100,500081
Books,500183,500100
Comics,500184,500100
Games,500185,500100
Music,500186,500100
Podcasts,500187,500100
Video,500188,500100
General,500189,500100
Information,500101,500081
News,500190,500101
Reference Apps,500191,500101
Road ,500192,500101
Sports,500193,500101
Travel,500194,500101
Weather,500195,500101
General,500196,500101
Multimedia,500102,500081
Audio,500197,500102
Photography,500198,500102
Video,500199,500102
General,500200,500102
Socail Space,500103,500081
General,500201,500103
Shopping,500104,500081
Discounts,500202,500104
General,500203,500104
Tools,500105,500081
Health,500204,500105
Maps,500205,500105
Personalization,500206,500105
Productivity,500207,500105
Widgets,500208,500105
General,500209,500105
Public Sector,1073,1076
Local Government,992,1073
National Governmenet,993,1073
State Government ,994,1073
Alabama,995,994
Alaska,996,994
Arizona,997,994
Arkansas,998,994
California,999,994
Colorado,1000,994
Connecticut,1001,994
Delaware,1002,994
Florida,1003,994
Georgia,1004,994
Hawaii,1005,994
Idaho,1006,994
Illinois,1007,994
Indiana,1008,994
Iowa,1009,994
Kansas,1010,994
Kentucky,1011,994
Louisiana,1012,994
Maine,1013,994
Maryland,1014,994
Massachusetts,1015,994
Michigan,1016,994
Minnesota,1017,994
Mississippi,1018,994
Missouri,1019,994
Montana,1020,994
Nebraska,1021,994
Nevada,1022,994
New Hampshire,1023,994
New Jersey,1024,994
New Mexico,1025,994
New York,1026,994
North Carolina,1027,994
North Dakota,1028,994
Ohio,1029,994
Oklahoma,1030,994
Oregon,1031,994
Pennsylvania,1032,994
Rhode Island,1033,994
South Carolina,1034,994
South Dakota,1035,994
Tennessee,1036,994
Texas,1037,994
Utah,1038,994
Vermont,1039,994
Virginia,1040,994
Washington,1041,994
West Virginia,1042,994
Wisconsin,1043,994
Wyoming,1044,994
General,4060,994
Education,1055,1073
Higher Education,1045,1055
Public Universities,1046,1045
Private Universities,1047,1045
General,4062,1045
Pre-schools,1048,1055
Primary,1049,1055
Elementary Schools,1050,1049
Middle Schools,1051,1049
High Schools,1052,1049
General,4063,1049
Private Primary Schools,1053,1055
Public  Primary Schools,1054,1055
General,4061,1055
All,1079,1073
Non-Profit Sector,1074,1076
Religion,891,1074
Budhism,883,891
Catholic,884,891
LDS,885,891
Protestant,886,891
Christianity,887,891
Hinduism,888,891
Islam,889,891
Judaism,890,891
General,4040,891
All,1080,1074
All,1077,1076
English,500000,0
Keywords,500001,500000
People,500007,500001
Places,500008,500001
Things,500009,500001
Common Words,500010,500001
General,500212,500001
A,500011,500212
B,500012,500212
C,500013,500212
D,500014,500212
E,500015,500212
F,500016,500212
G,500017,500212
H,500018,500212
I,500019,500212
J,500020,500212
K,500021,500212
L,500022,500212
M,500023,500212
N,500024,500212
O,500025,500212
P,500026,500212
Q,500027,500212
R,500028,500212
S,500029,500212
T,500030,500212
U,500031,500212
V,500032,500212
W,500033,500212
X,500034,500212
Y,500035,500212
Z,500036,500212
0,500037,500212
1,500038,500212
2,500039,500212
3,500040,500212
4,500041,500212
5,500042,500212
6,500043,500212
7,500044,500212
8,500045,500212
9,500046,500212
List,500215,500001
Filters,500002,500000
Word Groups,500003,500000
Websites,500004,500000
URL Segments,500005,500000
Page Attributes,500006,500000
Page Title,500213,500006
Common,500214,500006
English,600000,0
Keywords,600001,600000
Wiki Keywords,600002,600001
People,600004,600002
Places,600005,600002
Things,600006,600002
Common,600007,600002
Other Keywords,600003,600001
